"_v","المديرية","السنة","النوع","العدد"
,"أسوان","2018","ذكور","188"
,"مطروح","2018","ذكور","46"
,"الوادى الجديد","2018","إناث","75"
,"البحر الأحمر","2018","ذكور","1"
,"البحر الأحمر","2018","إناث","0"
,"اجمالى الجمهورية","2018","ذكور","7959"
,"الإسكندرية","2019","ذكور","139"
,"البحيرة","2019","إناث","351"
,"الدقهلية","2019","ذكور","606"
,"الشرقية","2019","ذكور","844"
,"الجيزة","2019","ذكور","168"
,"بنى سويف","2019","إناث","221"
,"سوهاج","2019","ذكور","349"
,"أسوان","2019","ذكور","191"
,"مطروح","2019","ذكور","42"
,"مطروح","2019","إناث","14"
,"الوادى الجديد","2019","إناث","71"
,"البحر الأحمر","2019","ذكور","3"
,"البحر الأحمر","2019","إناث","1"
,"القاهرة","2020","ذكور","3"
,"الغربية","2020","ذكور","270"
,"الشرقية","2020","إناث","579"
,"السويس","2020","إناث","13"
,"الجيزة","2020","إناث","125"
,"الفيوم","2020","إناث","130"
,"مطروح","2020","ذكور","40"
,"الوادى الجديد","2020","إناث","74"
,"اجمالى الجمهورية","2020","إناث","4896"
,"القاهرة","2021","ذكور","3"
,"الإسماعيلية","2021","ذكور","187"
,"الغربية","2017","ذكور","318"
,"المنوفية","2017","ذكور","333"
,"القليوبية","2017","ذكور","332"
,"دمياط","2017","إناث","104"
,"السويس","2017","ذكور","30"
,"السويس","2017","إناث","13"
,"بنى سويف","2017","ذكور","350"
,"المنيا","2017","ذكور","853"
,"أسيوط","2017","إناث","348"
,"مطروح","2017","ذكور","42"
,"الوادى الجديد","2017","إناث","75"
,"شمال سيناء","2017","إناث","29"
,"اجمالى الجمهورية","2017","ذكور","8239"
,"دمياط","2018","ذكور","117"
,"الشرقية","2018","ذكور","850"
,"الجيزة","2018","ذكور","163"
,"الجيزة","2018","إناث","133"
,"سوهاج","2018","ذكور","364"
,"الوادى الجديد","2018","ذكور","215"
,"شمال سيناء","2018","ذكور","90"
,"جنوب سيناء","2018","إناث","6"
,"اجمالى الجمهورية","2018","إناث","5214"
,"القاهرة","2019","إناث","0"
,"البحيرة","2019","ذكور","632"
,"الغربية","2019","ذكور","297"
,"الغربية","2019","إناث","323"
,"كفر الشيخ","2019","إناث","509"
,"الدقهلية","2019","إناث","385"
,"بورسعيد","2019","ذكور","32"
,"السويس","2019","ذكور","23"
,"بنى سويف","2019","ذكور","342"
,"أسيوط","2019","إناث","343"
,"الأقصر","2019","ذكور","194"
,"الأقصر","2019","إناث","70"
,"أسوان","2019","إناث","118"
,"اجمالى الجمهورية","2019","ذكور","7732"
,"القاهرة","2020","إناث","2"
,"الإسكندرية","2020","إناث","111"
,"القليوبية","2020","إناث","200"
,"الدقهلية","2020","إناث","364"
,"دمياط","2020","إناث","79"
,"بورسعيد","2020","إناث","10"
