"المحافظة","السنة","الشهر","النوع","العدد"
"اجمالى الجمهورية","2019","7",,"42283615"
"اجمالى الجمهورية","2019","7",,"56618319"
"القاهرة","2020","7",,"9947046"
"القاهرة","2020","7",,"0"
"الإسكندرية","2020","7",,"5292665"
"الإسكندرية","2020","7",,"102255"
"بور سعيد","2020","7",,"775209"
"بور سعيد","2020","7",,"0"
"السويس","2020","7",,"765159"
"السويس","2020","7",,"0"
"دمياط","2020","7",,"632099"
"دمياط","2020","7",,"937352"
"الدقهلية","2020","7",,"2059157"
"الدقهلية","2020","7",,"4760352"
"الشرقية","2020","7",,"1938914"
"الشرقية","2020","7",,"5641965"
"القليوبية","2020","7",,"2536220"
"القليوبية","2020","7",,"3375142"
"كفر الشيخ","2020","7",,"872879"
"كفر الشيخ","2020","7",,"2702544"
"الغربية ","2020","7",,"1571177"
"الغربية ","2020","7",,"3682911"
"المنوفية","2020","7",,"980305"
"المنوفية","2020","7",,"3565009"
"البحيرة","2020","7",,"1328980"
"البحيرة","2020","7",,"5249801"
"الإسماعيلية","2020","7",,"633786"
"الإسماعيلية","2020","7",,"754312"
"الجيزة","2020","7",,"5510799"
"الجيزة","2020","7",,"3616442"
"بنى سويف","2020","7",,"815402"
"بنى سويف","2020","7",,"2578472"
"الفيوم","2020","7",,"896222"
"الفيوم","2020","7",,"2961763"
"المنيا","2020","7",,"1108641"
"المنيا","2020","7",,"4832717"
"أسيوط","2020","7",,"1274600"
"أسيوط","2020","7",,"3472209"
"سوهاج","2020","7",,"1149485"
"سوهاج","2020","7",,"4229314"
"قنا","2020","7",,"631102"
"قنا","2020","7",,"2796275"
"أسوان","2020","7",,"694968"
"أسوان","2020","7",,"880946"
" الأقصر","2020","7",,"548792"
" الأقصر","2020","7",,"784517"
"البحر الأحمر","2020","7",,"371215"
"البحر الأحمر","2020","7",,"12581"
"الوادى الجديد","2020","7",,"125337"
"الوادى الجديد","2020","7",,"130751"
"مطروح","2020","7",,"313659"
"مطروح","2020","7",,"179340"
"شمال سيناء","2020","7",,"298656"
"شمال سيناء","2020","7",,"187040"
"جنوب سيناء","2020","7",,"59961"
"جنوب سيناء","2020","7",,"50761"
"اجمالى الجمهورية","2020","7",,"43132435"
"اجمالى الجمهورية","2020","7",,"57484771"
"القاهرة","2021","7",,"10044894"
"القاهرة","2021","7",,"0"
"الإسكندرية","2021","7",,"5334946"
"الإسكندرية","2021","7",,"106920"
"بور سعيد","2021","7",,"780515"
"بور سعيد","2021","7",,"0"
"السويس","2021","7",,"773840"
"السويس","2021","7",,"0"
"دمياط","2021","7",,"640385"
"دمياط","2021","7",,"944868"
"الدقهلية","2021","7",,"2100436"
"الدقهلية","2021","7",,"4789526"
"الشرقية","2021","7",,"1986883"
"الشرقية","2021","7",,"5695887"
"القليوبية","2021","7",,"2565488"
"القليوبية","2021","7",,"3417079"
"كفر الشيخ","2021","7",,"885618"
"كفر الشيخ","2021","7",,"2735269"
"الغربية ","2021","7",,"1605130"
"الغربية ","2021","7",,"3704310"
"المنوفية","2021","7",,"995986"
"المنوفية","2021","7",,"3608613"
"البحيرة","2021","7",,"1376102"
"البحيرة","2021","7",,"5300756"
"الإسماعيلية","2021","7",,"648018"
"الإسماعيلية","2021","7",,"760829"
"الجيزة","2021","7",,"5565203"
"الجيزة","2021","7",,"3685588"
"بنى سويف","2021","7",,"836439"
"بنى سويف","2021","7",,"2619294"
"الفيوم","2021","7",,"910590"
"الفيوم","2021","7",,"3017430"
"المنيا","2021","7",,"1149215"
"المنيا","2021","7",,"4928576"
"أسيوط","2021","7",,"1308868"
"أسيوط","2021","7",,"3538867"
"سوهاج","2021","7",,"1172679"
"سوهاج","2021","7",,"4313730"
"قنا","2021","7",,"637968"
"قنا","2021","7",,"2854899"
"أسوان","2021","7",,"718519"
"أسوان","2021","7",,"881691"
" الأقصر","2021","7",,"560331"
" الأقصر","2021","7",,"792487"
"البحر الأحمر","2021","7",,"377469"
"البحر الأحمر","2021","7",,"12601"
"الوادى الجديد","2021","7",,"128229"
"الوادى الجديد","2021","7",,"130945"
"مطروح","2021","7",,"328428"
"مطروح","2021","7",,"183117"
"شمال سيناء","2021","7",,"302219"
"شمال سيناء","2021","7",,"190336"
"جنوب سيناء","2021","7",,"61493"
"جنوب سيناء","2021","7",,"51179"
"اجمالى الجمهورية","2021","7",,"43795891"
"اجمالى الجمهورية","2021","7",,"58264797"
"القاهرة","2022","7",,"10143521"
"القاهرة","2022","7",,"0"
"الإسكندرية","2022","7",,"5380371"
"الإسكندرية","2022","7",,"111232"
"بور سعيد","2022","7",,"785660"
"بور سعيد","2022","7",,"0"
"السويس","2022","7",,"783080"
"السويس","2022","7",,"0"
"دمياط","2022","7",,"647193"
"دمياط","2022","7",,"953714"
"الدقهلية","2022","7",,"2128531"
"الدقهلية","2022","7",,"4840138"
"الشرقية","2022","7",,"2043888"
"الشرقية","2022","7",,"5753587"
"القليوبية","2022","7",,"2599833"
"القليوبية","2022","7",,"3459800"
"كفر الشيخ","2022","7",,"894368"
"كفر الشيخ","2022","7",,"2774297"
"الغربية ","2022","7",,"1638137"
"الغربية ","2022","7",,"3735799"
"المنوفية","2022","7",,"1013487"
"المنوفية","2022","7",,"3657143"
"البحيرة","2022","7",,"1405567"
"البحيرة","2022","7",,"5366532"
"الإسماعيلية","2022","7",,"663652"
"الإسماعيلية","2022","7",,"766044"
"الجيزة","2022","7",,"5621871"
"الجيزة","2022","7",,"3760657"
"بنى سويف","2022","7",,"866186"
"بنى سويف","2022","7",,"2659811"
"الفيوم","2022","7",,"924427"
"الفيوم","2022","7",,"3082418"
"المنيا","2022","7",,"1182291"
"المنيا","2022","7",,"5028383"
"أسيوط","2022","7",,"1349712"
"أسيوط","2022","7",,"3604070"
"سوهاج","2022","7",,"1197248"
"سوهاج","2022","7",,"4407700"
"قنا","2022","7",,"653746"
"قنا","2022","7",,"2913514"
"أسوان","2022","7",,"741107"
"أسوان","2022","7",,"886978"
" الأقصر","2022","7",,"575675"
" الأقصر","2022","7",,"800385"
"البحر الأحمر","2022","7",,"383961"
"البحر الأحمر","2022","7",,"12614"
"الوادى الجديد","2022","7",,"131607"
"الوادى الجديد","2022","7",,"131418"
"مطروح","2022","7",,"342958"
"مطروح","2022","7",,"186319"
"شمال سيناء","2022","7",,"305795"
"شمال سيناء","2022","7",,"193981"
"جنوب سيناء","2022","7",,"63250"
"جنوب سيناء","2022","7",,"51383"
"اجمالى الجمهورية","2022","7",,"44467122"
"اجمالى الجمهورية","2022","7",,"59137917"
"القاهرة","2023","7",,"10248385"
"القاهرة","2023","7",,"0"
"الإسكندرية","2023","7",,"5435264"
"الإسكندرية","2023","7",,"111399"
"بور سعيد","2023","7",,"791749"
"بور سعيد","2023","7",,"0"
"السويس","2023","7",,"792551"
"السويس","2023","7",,"0"
"دمياط","2023","7",,"654928"
"دمياط","2023","7",,"963311"
"الدقهلية","2023","7",,"2135483"
"الدقهلية","2023","7",,"4914521"
"الشرقية","2023","7",,"2104414"
"الشرقية","2023","7",,"5804928"
"القليوبية","2023","7",,"2638769"
"القليوبية","2023","7",,"3498919"
"كفر الشيخ","2023","7",,"902133"
"كفر الشيخ","2023","7",,"2816183"
"الغربية ","2023","7",,"1663711"
"الغربية ","2023","7",,"3775374"
"المنوفية","2023","7",,"1033307"
"المنوفية","2023","7",,"3703638"
"البحيرة","2023","7",,"1425250"
"البحيرة","2023","7",,"5453039"
"الإسماعيلية","2023","7",,"679587"
"الإسماعيلية","2023","7",,"773156"
"الجيزة","2023","7",,"5680893"
"الجيزة","2023","7",,"3833647"
"بنى سويف","2023","7",,"900662"
"بنى سويف","2023","7",,"2691377"
"الفيوم","2023","7",,"933054"
"الفيوم","2023","7",,"3147591"
"المنيا","2023","7",,"1207633"
"المنيا","2023","7",,"5129962"
"أسيوط","2023","7",,"1391537"
"أسيوط","2023","7",,"3670397"
"سوهاج","2023","7",,"1223088"
"سوهاج","2023","7",,"4504183"
"قنا","2023","7",,"667268"
"قنا","2023","7",,"2973648"
"أسوان","2023","7",,"760362"
"أسوان","2023","7",,"895856"
" الأقصر","2023","7",,"594358"
" الأقصر","2023","7",,"806282"
"البحر الأحمر","2023","7",,"390456"
"البحر الأحمر","2023","7",,"12621"
"الوادى الجديد","2023","7",,"134976"
"الوادى الجديد","2023","7",,"131950"
"مطروح","2023","7",,"359676"
"مطروح","2023","7",,"188026"
"شمال سيناء","2023","7",,"310036"
"شمال سيناء","2023","7",,"198073"
"جنوب سيناء","2023","7",,"65095"
"جنوب سيناء","2023","7",,"51384"
"اجمالى الجمهورية","2023","7",,"45124625"
"اجمالى الجمهورية","2023","7",,"60049465"
