"المحافظة","السنة","الشهر","محل الإقامة","العدد"
"الدقهلية","2018","7","حضر","1925919"
"الدقهلية","2018","7","ريف","4700516"
"الشرقية","2018","7","حضر","1813645"
"الشرقية","2018","7","ريف","5518524"
"القليوبية","2018","7","حضر","2456770"
"القليوبية","2018","7","ريف","3287655"
"كفر الشيخ","2018","7","حضر","829259"
"كفر الشيخ","2018","7","ريف","2615954"
"الغربية ","2018","7","حضر","1471592"
"الغربية ","2018","7","ريف","3633042"
"المنوفية","2018","7","حضر","927855"
"المنوفية","2018","7","ريف","3472673"
"البحيرة","2018","7","حضر","1204011"
"البحيرة","2018","7","ريف","5133362"
"الإسماعيلية","2018","7","حضر","599699"
"الإسماعيلية","2018","7","ريف","738518"
"الجيزة","2018","7","حضر","5368201"
"الجيزة","2018","7","ريف","3463513"
"بنى سويف","2018","7","حضر","754502"
"بنى سويف","2018","7","ريف","2494849"
"الفيوم","2018","7","حضر","858555"
"الفيوم","2018","7","ريف","2846584"
"المنيا","2018","7","حضر","1031380"
"المنيا","2018","7","ريف","4642249"
"أسيوط","2018","7","حضر","1189647"
"أسيوط","2018","7","ريف","3337918"
"سوهاج","2018","7","حضر","1090237"
"سوهاج","2018","7","ريف","4038209"
"قنا","2018","7","حضر","609053"
"قنا","2018","7","ريف","2655210"
"أسوان","2018","7","حضر","638486"
"أسوان","2018","7","ريف","877354"
" الأقصر","2018","7","حضر","522915"
" الأقصر","2018","7","ريف","759675"
"البحر الأحمر","2018","7","حضر","356566"
"البحر الأحمر","2018","7","ريف","12553"
"الوادى الجديد","2018","7","حضر","116540"
"الوادى الجديد","2018","7","ريف","130600"
"مطروح","2018","7","حضر","284823"
"مطروح","2018","7","ريف","166105"
"شمال سيناء","2018","7","حضر","288517"
"شمال سيناء","2018","7","ريف","171657"
"جنوب سيناء","2018","7","حضر","56297"
"جنوب سيناء","2018","7","ريف","48503"
"اجمالى الجمهورية","2018","7","حضر","41398653"
"اجمالى الجمهورية","2018","7","ريف","55748715"
"القاهرة","2019","7","حضر","9840591"
"القاهرة","2019","7","ريف","0"
"الإسكندرية","2019","7","حضر","5235471"
"الإسكندرية","2019","7","ريف","92793"
"بور سعيد","2019","7","حضر","767905"
"بور سعيد","2019","7","ريف","0"
"السويس","2019","7","حضر","754531"
"السويس","2019","7","ريف","0"
"دمياط","2019","7","حضر","619802"
"دمياط","2019","7","ريف","929133"
"الدقهلية","2019","7","حضر","1994978"
"الدقهلية","2019","7","ريف","4730081"
"الشرقية","2019","7","حضر","1876108"
"الشرقية","2019","7","ريف","5583305"
"القليوبية","2019","7","حضر","2497634"
"القليوبية","2019","7","ريف","3332367"
"كفر الشيخ","2019","7","حضر","850691"
"كفر الشيخ","2019","7","ريف","2656678"
"الغربية ","2019","7","حضر","1522905"
"الغربية ","2019","7","ريف","3659115"
"المنوفية","2019","7","حضر","954375"
"المنوفية","2019","7","ريف","3519305"
"البحيرة","2019","7","حضر","1267059"
"البحيرة","2019","7","ريف","5194093"
"الإسماعيلية","2019","7","حضر","616765"
"الإسماعيلية","2019","7","ريف","747084"
"الجيزة","2019","7","حضر","5442716"
"الجيزة","2019","7","ريف","3539462"
"بنى سويف","2019","7","حضر","785395"
"بنى سويف","2019","7","ريف","2536985"
"الفيوم","2019","7","حضر","879886"
"الفيوم","2019","7","ريف","2904780"
"المنيا","2019","7","حضر","1070080"
"المنيا","2019","7","ريف","4738767"
"أسيوط","2019","7","حضر","1231979"
"أسيوط","2019","7","ريف","3406631"
"سوهاج","2019","7","حضر","1119363"
"سوهاج","2019","7","ريف","4135507"
"قنا","2019","7","حضر","619801"
"قنا","2019","7","ريف","2720609"
"أسوان","2019","7","حضر","666840"
"أسوان","2019","7","ريف","879261"
" الأقصر","2019","7","حضر","535347"
" الأقصر","2019","7","ريف","773239"
"البحر الأحمر","2019","7","حضر","363696"
"البحر الأحمر","2019","7","ريف","12566"
"الوادى الجديد","2019","7","حضر","120787"
"الوادى الجديد","2019","7","ريف","130546"
"مطروح","2019","7","حضر","298526"
"مطروح","2019","7","ريف","172720"
"شمال سيناء","2019","7","حضر","292329"
"شمال سيناء","2019","7","ريف","174542"
"جنوب سيناء","2019","7","حضر","58055"
"جنوب سيناء","2019","7","ريف","48750"
"اجمالى الجمهورية","2019","7","حضر","42283615"
"اجمالى الجمهورية","2019","7","ريف","56618319"
"القاهرة","2020","7","حضر","9947046"
"القاهرة","2020","7","ريف","0"
"الإسكندرية","2020","7","حضر","5292665"
"الإسكندرية","2020","7","ريف","102255"
"بور سعيد","2020","7","حضر","775209"
"بور سعيد","2020","7","ريف","0"
"السويس","2020","7","حضر","765159"
"السويس","2020","7","ريف","0"
"دمياط","2020","7","حضر","632099"
"دمياط","2020","7","ريف","937352"
"الدقهلية","2020","7","حضر","2059157"
"الدقهلية","2020","7","ريف","4760352"
"الشرقية","2020","7","حضر","1938914"
"الشرقية","2020","7","ريف","5641965"
"القليوبية","2020","7","حضر","2536220"
"القليوبية","2020","7","ريف","3375142"
"كفر الشيخ","2020","7","حضر","872879"
"كفر الشيخ","2020","7","ريف","2702544"
"الغربية ","2020","7","حضر","1571177"
"الغربية ","2020","7","ريف","3682911"
"المنوفية","2020","7","حضر","980305"
"المنوفية","2020","7","ريف","3565009"
"البحيرة","2020","7","حضر","1328980"
"البحيرة","2020","7","ريف","5249801"
"الإسماعيلية","2020","7","حضر","633786"
"الإسماعيلية","2020","7","ريف","754312"
"الجيزة","2020","7","حضر","5510799"
"الجيزة","2020","7","ريف","3616442"
"بنى سويف","2020","7","حضر","815402"
"بنى سويف","2020","7","ريف","2578472"
"الفيوم","2020","7","حضر","896222"
"الفيوم","2020","7","ريف","2961763"
"المنيا","2020","7","حضر","1108641"
"المنيا","2020","7","ريف","4832717"
"أسيوط","2020","7","حضر","1274600"
"أسيوط","2020","7","ريف","3472209"
"سوهاج","2020","7","حضر","1149485"
"سوهاج","2020","7","ريف","4229314"
"قنا","2020","7","حضر","631102"
"قنا","2020","7","ريف","2796275"
"أسوان","2020","7","حضر","694968"
"أسوان","2020","7","ريف","880946"
" الأقصر","2020","7","حضر","548792"
" الأقصر","2020","7","ريف","784517"
"البحر الأحمر","2020","7","حضر","371215"
"البحر الأحمر","2020","7","ريف","12581"
"الوادى الجديد","2020","7","حضر","125337"
"الوادى الجديد","2020","7","ريف","130751"
"مطروح","2020","7","حضر","313659"
"مطروح","2020","7","ريف","179340"
"شمال سيناء","2020","7","حضر","298656"
"شمال سيناء","2020","7","ريف","187040"
"جنوب سيناء","2020","7","حضر","59961"
"جنوب سيناء","2020","7","ريف","50761"
"اجمالى الجمهورية","2020","7","حضر","43132435"
"اجمالى الجمهورية","2020","7","ريف","57484771"
"القاهرة","2021","7","حضر","10044894"
"القاهرة","2021","7","ريف","0"
"الإسكندرية","2021","7","حضر","5334946"
"الإسكندرية","2021","7","ريف","106920"
"بور سعيد","2021","7","حضر","780515"
"بور سعيد","2021","7","ريف","0"
"السويس","2021","7","حضر","773840"
"السويس","2021","7","ريف","0"
"دمياط","2021","7","حضر","640385"
"دمياط","2021","7","ريف","944868"
"الدقهلية","2021","7","حضر","2100436"
"الدقهلية","2021","7","ريف","4789526"
"الشرقية","2021","7","حضر","1986883"
"الشرقية","2021","7","ريف","5695887"
"القليوبية","2021","7","حضر","2565488"
"القليوبية","2021","7","ريف","3417079"
"كفر الشيخ","2021","7","حضر","885618"
"كفر الشيخ","2021","7","ريف","2735269"
"الغربية ","2021","7","حضر","1605130"
"الغربية ","2021","7","ريف","3704310"
"المنوفية","2021","7","حضر","995986"
"المنوفية","2021","7","ريف","3608613"
"البحيرة","2021","7","حضر","1376102"
"البحيرة","2021","7","ريف","5300756"
"الإسماعيلية","2021","7","حضر","648018"
"الإسماعيلية","2021","7","ريف","760829"
"الجيزة","2021","7","حضر","5565203"
"الجيزة","2021","7","ريف","3685588"
"بنى سويف","2021","7","حضر","836439"
"بنى سويف","2021","7","ريف","2619294"
"الفيوم","2021","7","حضر","910590"
"الفيوم","2021","7","ريف","3017430"
"المنيا","2021","7","حضر","1149215"
"المنيا","2021","7","ريف","4928576"
"أسيوط","2021","7","حضر","1308868"
"أسيوط","2021","7","ريف","3538867"
"سوهاج","2021","7","حضر","1172679"
"سوهاج","2021","7","ريف","4313730"
"قنا","2021","7","حضر","637968"
"قنا","2021","7","ريف","2854899"
"أسوان","2021","7","حضر","718519"
"أسوان","2021","7","ريف","881691"
" الأقصر","2021","7","حضر","560331"
" الأقصر","2021","7","ريف","792487"
"البحر الأحمر","2021","7","حضر","377469"
"البحر الأحمر","2021","7","ريف","12601"
"الوادى الجديد","2021","7","حضر","128229"
"الوادى الجديد","2021","7","ريف","130945"
"مطروح","2021","7","حضر","328428"
"مطروح","2021","7","ريف","183117"
"شمال سيناء","2021","7","حضر","302219"
"شمال سيناء","2021","7","ريف","190336"
"جنوب سيناء","2021","7","حضر","61493"
"جنوب سيناء","2021","7","ريف","51179"
"اجمالى الجمهورية","2021","7","حضر","43795891"
"اجمالى الجمهورية","2021","7","ريف","58264797"
"القاهرة","2022","7","حضر","10143521"
"القاهرة","2022","7","ريف","0"
"الإسكندرية","2022","7","حضر","5380371"
"الإسكندرية","2022","7","ريف","111232"
"بور سعيد","2022","7","حضر","785660"
"بور سعيد","2022","7","ريف","0"
"السويس","2022","7","حضر","783080"
"السويس","2022","7","ريف","0"
"دمياط","2022","7","حضر","647193"
"دمياط","2022","7","ريف","953714"
"الدقهلية","2022","7","حضر","2128531"
"الدقهلية","2022","7","ريف","4840138"
"الشرقية","2022","7","حضر","2043888"
"الشرقية","2022","7","ريف","5753587"
"القليوبية","2022","7","حضر","2599833"
"القليوبية","2022","7","ريف","3459800"
"كفر الشيخ","2022","7","حضر","894368"
"كفر الشيخ","2022","7","ريف","2774297"
"الغربية ","2022","7","حضر","1638137"
"الغربية ","2022","7","ريف","3735799"
"المنوفية","2022","7","حضر","1013487"
"المنوفية","2022","7","ريف","3657143"
"البحيرة","2022","7","حضر","1405567"
"البحيرة","2022","7","ريف","5366532"
"الإسماعيلية","2022","7","حضر","663652"
"الإسماعيلية","2022","7","ريف","766044"
"الجيزة","2022","7","حضر","5621871"
"الجيزة","2022","7","ريف","3760657"
"بنى سويف","2022","7","حضر","866186"
"بنى سويف","2022","7","ريف","2659811"
"الفيوم","2022","7","حضر","924427"
"الفيوم","2022","7","ريف","3082418"
"المنيا","2022","7","حضر","1182291"
"المنيا","2022","7","ريف","5028383"
"أسيوط","2022","7","حضر","1349712"
"أسيوط","2022","7","ريف","3604070"
"سوهاج","2022","7","حضر","1197248"
"سوهاج","2022","7","ريف","4407700"
"قنا","2022","7","حضر","653746"
"قنا","2022","7","ريف","2913514"
"أسوان","2022","7","حضر","741107"
"أسوان","2022","7","ريف","886978"
" الأقصر","2022","7","حضر","575675"
" الأقصر","2022","7","ريف","800385"
"البحر الأحمر","2022","7","حضر","383961"
"البحر الأحمر","2022","7","ريف","12614"
"الوادى الجديد","2022","7","حضر","131607"
"الوادى الجديد","2022","7","ريف","131418"
"مطروح","2022","7","حضر","342958"
"مطروح","2022","7","ريف","186319"
"شمال سيناء","2022","7","حضر","305795"
"شمال سيناء","2022","7","ريف","193981"
"جنوب سيناء","2022","7","حضر","63250"
"جنوب سيناء","2022","7","ريف","51383"
"اجمالى الجمهورية","2022","7","حضر","44467122"
"اجمالى الجمهورية","2022","7","ريف","59137917"
"القاهرة","2023","7","حضر","10248385"
"القاهرة","2023","7","ريف","0"
"الإسكندرية","2023","7","حضر","5435264"
"الإسكندرية","2023","7","ريف","111399"
"بور سعيد","2023","7","حضر","791749"
"بور سعيد","2023","7","ريف","0"
"السويس","2023","7","حضر","792551"
"السويس","2023","7","ريف","0"
"دمياط","2023","7","حضر","654928"
"دمياط","2023","7","ريف","963311"
"الدقهلية","2023","7","حضر","2135483"
"الدقهلية","2023","7","ريف","4914521"
"الشرقية","2023","7","حضر","2104414"
"الشرقية","2023","7","ريف","5804928"
"القليوبية","2023","7","حضر","2638769"
"القليوبية","2023","7","ريف","3498919"
"كفر الشيخ","2023","7","حضر","902133"
"كفر الشيخ","2023","7","ريف","2816183"
"الغربية ","2023","7","حضر","1663711"
"الغربية ","2023","7","ريف","3775374"
"المنوفية","2023","7","حضر","1033307"
"المنوفية","2023","7","ريف","3703638"
"البحيرة","2023","7","حضر","1425250"
"البحيرة","2023","7","ريف","5453039"
"الإسماعيلية","2023","7","حضر","679587"
"الإسماعيلية","2023","7","ريف","773156"
"الجيزة","2023","7","حضر","5680893"
"الجيزة","2023","7","ريف","3833647"
"بنى سويف","2023","7","حضر","900662"
"بنى سويف","2023","7","ريف","2691377"
"الفيوم","2023","7","حضر","933054"
"الفيوم","2023","7","ريف","3147591"
"المنيا","2023","7","حضر","1207633"
"المنيا","2023","7","ريف","5129962"
"أسيوط","2023","7","حضر","1391537"
"أسيوط","2023","7","ريف","3670397"
"سوهاج","2023","7","حضر","1223088"
"سوهاج","2023","7","ريف","4504183"
"قنا","2023","7","حضر","667268"
"قنا","2023","7","ريف","2973648"
"أسوان","2023","7","حضر","760362"
"أسوان","2023","7","ريف","895856"
" الأقصر","2023","7","حضر","594358"
" الأقصر","2023","7","ريف","806282"
"البحر الأحمر","2023","7","حضر","390456"
"البحر الأحمر","2023","7","ريف","12621"
"الوادى الجديد","2023","7","حضر","134976"
"الوادى الجديد","2023","7","ريف","131950"
"مطروح","2023","7","حضر","359676"
"مطروح","2023","7","ريف","188026"
"شمال سيناء","2023","7","حضر","310036"
"شمال سيناء","2023","7","ريف","198073"
"جنوب سيناء","2023","7","حضر","65095"
"جنوب سيناء","2023","7","ريف","51384"
"اجمالى الجمهورية","2023","7","حضر","45124625"
"اجمالى الجمهورية","2023","7","ريف","60049465"
