"المحافظة","السنة","الشهر","محل الإقامة","العدد"
"القاهرة","2017","7","حضر","9570441"
"القاهرة","2017","7","ريف","0"
"الإسكندرية","2017","7","حضر","5108351"
"الإسكندرية","2017","7","ريف","70683"
"بور سعيد","2017","7","حضر","751073"
"بور سعيد","2017","7","ريف","0"
"السويس","2017","7","حضر","730759"
"السويس","2017","7","ريف","0"
"دمياط","2017","7","حضر","592124"
"دمياط","2017","7","ريف","909839"
"الدقهلية","2017","7","حضر","1851584"
"الدقهلية","2017","7","ريف","4664905"
"الشرقية","2017","7","حضر","1753557"
"الشرقية","2017","7","ريف","5438798"
"القليوبية","2017","7","حضر","2411599"
"القليوبية","2017","7","ريف","3236117"
"كفر الشيخ","2017","7","حضر","808942"
"كفر الشيخ","2017","7","ريف","2567867"
"الغربية ","2017","7","حضر","1416141"
"الغربية ","2017","7","ريف","3602404"
"المنوفية","2017","7","حضر","897383"
"المنوفية","2017","7","ريف","3421699"
"البحيرة","2017","7","حضر","1135213"
"البحيرة","2017","7","ريف","5064924"
"الإسماعيلية","2017","7","حضر","582990"
"الإسماعيلية","2017","7","ريف","726484"
"الجيزة","2017","7","حضر","5283586"
"الجيزة","2017","7","ريف","3382504"
"بنى سويف","2017","7","حضر","722269"
"بنى سويف","2017","7","ريف","2448917"
"الفيوم","2017","7","حضر","833582"
"الفيوم","2017","7","ريف","2781904"
"المنيا","2017","7","حضر","994734"
"المنيا","2017","7","ريف","4532185"
"أسيوط","2017","7","حضر","1143956"
"أسيوط","2017","7","ريف","3263379"
"سوهاج","2017","7","حضر","1060647"
"سوهاج","2017","7","ريف","3934508"
"قنا","2017","7","حضر","596948"
"قنا","2017","7","ريف","2584740"
"أسوان","2017","7","حضر","608755"
"أسوان","2017","7","ريف","872691"
" الأقصر","2017","7","حضر","508547"
" الأقصر","2017","7","ريف","747156"
"البحر الأحمر","2017","7","حضر","348970"
"البحر الأحمر","2017","7","ريف","12510"
"الوادى الجديد","2017","7","حضر","111951"
"الوادى الجديد","2017","7","ريف","130349"
"مطروح","2017","7","حضر","269750"
"مطروح","2017","7","ريف","159620"
"شمال سيناء","2017","7","حضر","283946"
"شمال سيناء","2017","7","ريف","168044"
"جنوب سيناء","2017","7","حضر","54312"
"جنوب سيناء","2017","7","ريف","48195"
"اجمالى الجمهورية","2017","7","حضر","40432110"
"اجمالى الجمهورية","2017","7","ريف","54770422"
"القاهرة","2018","7","حضر","9717324"
"القاهرة","2018","7","ريف","0"
"الإسكندرية","2018","7","حضر","5176825"
"الإسكندرية","2018","7","ريف","82993"
"بور سعيد","2018","7","حضر","760152"
"بور سعيد","2018","7","ريف","0"
"السويس","2018","7","حضر","743193"
"السويس","2018","7","ريف","0"
"دمياط","2018","7","حضر","606690"
"دمياط","2018","7","ريف","920499"
